ㄅㄚ,ba,八
(ㄌㄦ˙),lẹr,了
ㄌㄧ,li,哩
ㄌㄧˊ,lí,離
ㄌㄧˇ,lǐ,李
ㄌㄧˋ,lì,利
ㄌㄧ˙,lị,哩
ㄌㄧㄚ,,　
ㄌㄧㄚˊ,,
ㄌㄧㄚˇ,liǎ,倆
ㄌㄧㄚˋ,,　
ㄌㄧㄚ˙,,　
ㄌㄧㄝ,lieh,咧
ㄌㄧㄝˊ,,　
ㄌㄧㄝˇ,liěh,咧
ㄌㄧㄝˋ,lièh,列
ㄌㄧㄝ˙,liẹh,咧
ㄌㄧㄠ,liao,撩
ㄌㄧㄠˊ,liaó,療
ㄌㄧㄠˇ,liaǒ,瞭
ㄌㄧㄠˋ,liaò,料
ㄌㄧㄠ˙,,　
ㄌㄧㄡ,liou,溜
ㄌㄧㄡˊ,lioú,流
ㄌㄧㄡˇ,lioǔ,柳
ㄌㄧㄡˋ,lioù,六
ㄌㄧㄡ˙,,　
ㄌㄧㄢ,,
ㄌㄧㄢˊ,lián,廉
ㄌㄧㄢˇ,liǎn,臉
ㄌㄧㄢˋ,liàn,戀
ㄌㄧㄢ˙,,　
ㄌㄧㄣ,lin,崊
ㄌㄧㄣˊ,lín,林
ㄌㄧㄣˇ,lǐn,凜
ㄌㄧㄣˋ,lìn,賃
ㄌㄧㄣ˙,,　
ㄌㄧㄤ,,
ㄌㄧㄤˊ,líang,良
ㄌㄧㄤˇ,lǐang,兩
ㄌㄧㄤˋ,lìang,亮
ㄌㄧㄤ˙,,　
ㄌㄧㄥ,ling,拎
